no,competency_type_id,level,deskripsi_perilaku,tools_training,kode,topik_training,generated_file_url,generated_pdf_url,generated_at
73,10,4,Membaca situasi sosial dengan baik dan memilih cara komunikasi yang tepat di berbagai kondisi. Menjadi penengah saat terjadi perbedaan pendapat dan membantu tim tetap fokus pada penyelesaian tugas.,Social Intelligence at Work,M123,Workplace Social Intelligence,NULL,NULL,NULL
74,10,4,Membaca situasi sosial dengan baik dan memilih cara komunikasi yang tepat di berbagai kondisi. Menjadi penengah saat terjadi perbedaan pendapat dan membantu tim tetap fokus pada penyelesaian tugas.,Advanced Coaching for Leaders: GROW,M124,GROW Technique for Coaching,NULL,NULL,NULL
75,10,3,Memahami perasaan rekan kerja dan menyampaikan pendapat dengan cara yang tidak memicu konflik. Mampu menjaga suasana kerja tetap positif saat terjadi ketegangan.,Social Styles Model,M125,Empathy in Communication,NULL,NULL,NULL
76,10,3,Memahami perasaan rekan kerja dan menyampaikan pendapat dengan cara yang tidak memicu konflik. Mampu menjaga suasana kerja tetap positif saat terjadi ketegangan.,Three Types of Empathy (Daniel Goleman),M126,Types of Empathy,NULL,NULL,NULL
77,10,2,"Merespons keluhan atau perbedaan pendapat dengan tenang,  serta menyesuaikan cara berkomunikasi sesuai dengan situasi dan kebutuhan lawan bicara.",", 7 Habits of Highly Effective People: Seek First to Understand,  Then to Be Understood",M127,Empathy in Communication,NULL,NULL,NULL
78,10,2,Merespons keluhan atau perbedaan pendapat dengan tenang, serta menyesuaikan cara berkomunikasi sesuai dengan situasi dan kebutuhan lawan bicara.,CLEAR Communication Model,M128,Openess Communication,NULL,NULL
79,10,1,Menjalin hubungan kerja yang baik dengan berbagai tipe orang. Menjelaskan informasi atau prosedur dengan tenang kepada orang yang mengalami kesulitan memahaminya.,Social Styles Model,M129,Basic Emphaty for Effective Communication,NULL,NULL,NULL
80,10,1,Menjalin hubungan kerja yang baik dengan berbagai tipe orang. Menjelaskan informasi atau prosedur dengan tenang kepada orang yang mengalami kesulitan memahaminya.,Basic Emphaty: Empathy Circle (Listening Without Fixing),M130,Empathy for Active Listening,NULL,NULL,NULL
81,5,4,Mendorong orang lain atau seluruh anggota unit kerja untuk menyesuaikan diri terhadap perubahan secara efektif dan profesional.,Situational Leadership Model (Hersey & Blanchard),M131,Situational Leadership,NULL,NULL,NULL
82,5,4,Mendorong orang lain atau seluruh anggota unit kerja untuk menyesuaikan diri terhadap perubahan secara efektif dan profesional.,Cynefin Framework,M132,Adaptive Decision Making,NULL,NULL,NULL
83,5,3,"Menganalisis kebutuhan situasi dan menentukan cara kerja yang paling sesuai,  serta menyesuaikan pendekatan atau cara kerja berdasarkan perubahan kondisi di lapangan,  perbedaan budaya,  atau dinamika kelompok.",", 7 Habits of Highly Effective People : Be Proactive",M133,Proactive Leadership,NULL,NULL,NULL
84,5,3,"Menganalisis kebutuhan situasi dan menentukan cara kerja yang paling sesuai,  serta menyesuaikan pendekatan atau cara kerja berdasarkan perubahan kondisi di lapangan,  perbedaan budaya,  atau dinamika kelompok.",", ADKAR Model (Prosci)",M134,ADKAR Change Management,NULL,NULL,NULL
85,5,2,Menyesuaikan perilaku kerja dengan situasi atau rekan kerja yang berbeda, tanpa mengganggu aturan atau prosedur utama dengan tujuan menjaga efektivitas kerja.,Cognitive Flexibility Framework,M135,Cognitive Flexibility in Work,NULL,NULL
86,5,2,Menyesuaikan perilaku kerja dengan situasi atau rekan kerja yang berbeda, tanpa mengganggu aturan atau prosedur utama dengan tujuan menjaga efektivitas kerja.,Situational Communication: Flexing Your Style,M136,Adapting Your Communication Style,NULL,NULL
87,5,1,Menerima perubahan cara kerja atau pendapat orang lain, serta menyadari bahwa situasi kerja bisa berbeda dan tidak selalu ideal.,Adaptability in the Workplace,M137,Adaptability in a Changing Workplace,NULL,NULL
88,5,1,Menerima perubahan cara kerja atau pendapat orang lain, serta menyadari bahwa situasi kerja bisa berbeda dan tidak selalu ideal.,Managing Ambiguity and Uncertainty,M138,Managing Uncertainty and Ambiguity,NULL,NULL
89,17,4,"Membimbing pelaksanaan instruksi dalam tim,  memastikan kesesuaian dengan prosedur,  dan mendukung kelancaran pelaksanaan tugas unit kerja secara menyeluruh.",", Standardized Work and Operational Discipline",M139,Operational Discipline,NULL,NULL,NULL
