no,competency_type_id,level,deskripsi_perilaku,tools_training,kode,topik_training,generated_file_url,generated_pdf_url,generated_at
159,7,1,Menyelesaikan tugas atau pekerjaan sesuai dengan standar dan target yang ditetapkan meskipun menghadapi gangguan atau perubahan jadwal dalam aktivitas kerja harian.,Time Management,M209,Managing Work Under Pressure,NULL,NULL,NULL
160,7,1,Menyelesaikan tugas atau pekerjaan sesuai dengan standar dan target yang ditetapkan meskipun menghadapi gangguan atau perubahan jadwal dalam aktivitas kerja harian.,Agile Mindset,M210,Agile Mindset for Workplace Resilience,NULL,NULL,NULL
161,21,4,Merancang strategi pengelolaan sumber daya jangka panjang yang efektif, dengan mengoptimalkan alokasi antar unit dan memastikan keberlanjutan sistem pengelolaan yang telah atau akan berjalan.,Visual Kanban Board,M211,Coaching for High Performance Team,NULL,NULL
162,21,4,Merancang strategi pengelolaan sumber daya jangka panjang yang efektif, dengan mengoptimalkan alokasi antar unit dan memastikan keberlanjutan sistem pengelolaan yang telah atau akan berjalan.,After Action Review (AAR),M212,Post-Task Reflection Strategies,NULL,NULL
163,21,3,Memanfaatkan berbagai sumber daya secara bersamaan untuk mencapai target kerja dan mampu mencari solusi ketika menghadapi keterbatasan sumber daya.,Gantt Chart,M213,Visual Project Management Tools,NULL,NULL,NULL
164,21,3,Memanfaatkan berbagai sumber daya secara bersamaan untuk mencapai target kerja dan mampu mencari solusi ketika menghadapi keterbatasan sumber daya.,5 Whys Identifications,M214,Root Cause Problem Identification,NULL,NULL,NULL
165,21,2,Mengelola sumber daya untuk tugas sehari-hari dan mulai mencari cara mengoptimalkan penggunaan sumber daya yang terbatas dengan berdasarkan panduan yang tersedia.,Visual Management for Work,M215,Boosting Efficiency with Visual Management,NULL,NULL,NULL
166,21,2,Mengelola sumber daya untuk tugas sehari-hari dan mulai mencari cara mengoptimalkan penggunaan sumber daya yang terbatas dengan berdasarkan panduan yang tersedia.,Effective Time and Task Management,M216,Effective Time on Task Management,NULL,NULL,NULL
167,21,1,"Memahami pentingnya penggunaan sumber daya yang efisien dan mengenal berbagai jenis sumber daya yang tersedia dan terkait dengan pekerjaan (peralatan,  material,  dan waktu).",", Lean Thinking Basics",M217,Lean Thinking,NULL,NULL,NULL
168,21,1,"Memahami pentingnya penggunaan sumber daya yang efisien dan mengenal berbagai jenis sumber daya yang tersedia dan terkait dengan pekerjaan (peralatan,  material,  dan waktu).",", Basic Knowledge of 5S: Shitsuke",M218,Basic Work Discipline for Productivity,NULL,NULL,NULL
169,4,4,Konsisten mengembangkan diri dan membantu tim berkembang dengan mencari peluang belajar yang menantang serta memastikan peningkatan keterampilan yang berkelanjutan untuk hasil kerja terbaik.,Learning Agility Framework,M219,Learning Agility for Leaders,NULL,NULL,NULL
170,4,4,Konsisten mengembangkan diri dan membantu tim berkembang dengan mencari peluang belajar yang menantang serta memastikan peningkatan keterampilan yang berkelanjutan untuk hasil kerja terbaik.,RACI Model for Manager,M220,RACI Model for Teams,NULL,NULL,NULL
171,4,3,Rutin meminta dan memanfaatkan masukan dari atasan atau rekan kerja untuk meningkatkan performa, serta mengaplikasikan yang telah dipelajari dalam pekerjaan sehari-hari secara konsisten.,Career Planning Cycle,M221,Career Development Strategies,NULL,NULL
172,4,3,Rutin meminta dan memanfaatkan masukan dari atasan atau rekan kerja untuk meningkatkan performa, serta mengaplikasikan yang telah dipelajari dalam pekerjaan sehari-hari secara konsisten.,ADKAR Model (Prosci),M222,Effective Change Management,NULL,NULL
173,4,2,"Mengenali keterampilan yang diperlukan untuk kemajuan karier,  menyusun rencana pengembangan diri,  dan secara aktif mengikuti pelatihan terkait dengan pekerjaan.",", Ikigai",M223,Finding Purpose and Passion in Work,NULL,NULL,NULL
174,4,2,"Mengenali keterampilan yang diperlukan untuk kemajuan karier,  menyusun rencana pengembangan diri,  dan secara aktif mengikuti pelatihan terkait dengan pekerjaan.",", 70:20:10 Learning Framework",M224,Self Growth through Experience,NULL,NULL,NULL
175,4,1,"Menerima masukan dan kritikan,  mencari bantuan apabila dihadapkan tugas atau pekerjaan baru,  serta mengikuti pelatihan dasar untuk meningkatkan keterampilan.",", 7 Habit of Highly Effective People: Sharpen the Saw",M225,Upgrade Skill for Better Performance,NULL,NULL,NULL
176,4,1,"Menerima masukan dan kritikan,  mencari bantuan apabila dihadapkan tugas atau pekerjaan baru,  serta mengikuti pelatihan dasar untuk meningkatkan keterampilan.",", Growth Mindset (Carol Dweck)",M226,Growth Mindset: Kunci Mental Tangguh dan Bertumbuh,NULL,NULL,NULL
177,11,4,"Membangun semangat kebersamaan dan komitmen tim,  menciptakan suasana inklusif dan terbuka,  serta menjadi panutan dalam membina kerja sama yang solid.",", The Five Behaviors of a Cohesive Team (Patrick Lencioni)",M227,Creating Effective Teamwork,NULL,NULL,NULL
178,11,4,"Membangun semangat kebersamaan dan komitmen tim,  menciptakan suasana inklusif dan terbuka,  serta menjadi panutan dalam membina kerja sama yang solid.",", RACI Model for Manager",M228,Optimizing Project Roles,NULL,NULL,NULL
179,11,3,"Mendorong kolaborasi dalam tim,  memberi arahan dan dukungan secara proaktif,  serta membantu menyelesaikan masalah tim secara konstruktif.",", Sandwich Feedback for Supervisory",M229,Feedback Technique for Supervisor,NULL,NULL,NULL
180,11,3,"Mendorong kolaborasi dalam tim,  memberi arahan dan dukungan secara proaktif,  serta membantu menyelesaikan masalah tim secara konstruktif.",", GRPI Model (Goals,  Roles,  Processes,  Interpersonal Relationships)",M230,Maximizing Team Synergy,NULL,NULL,NULL
181,11,2,"Berpartisipasi aktif dalam kegiatan tim,  menempatkan tujuan bersama di atas kepentingan pribadi,  dan membantu tanpa mengharapkan pengakuan., T.H.I.N.K.",Model,M231,Komunikasi Etis dalam Tim,NULL,NULL,NULL
182,11,2,"Berpartisipasi aktif dalam kegiatan tim,  menempatkan tujuan bersama di atas kepentingan pribadi,  dan membantu tanpa mengharapkan pengakuan.",", Team Emotional Intelligence",M232,Emotional Intellegence for Team Development,NULL,NULL,NULL
183,11,1,Memahami peran dalam tim, menerima penugasan dengan sikap positif, dan bersedia membantu rekan kerja saat dibutuhkan.,Tuckman's Team Development Model,M233,Tuckman’s Team Development Model,NULL
184,11,1,"Memahami peran dalam tim,  menerima penugasan dengan sikap positif,  dan bersedia membantu rekan kerja saat dibutuhkan.",", Belbin Team Roles",M234,Understand Your Roles at Team,NULL,NULL,NULL
