id,report_id,competency_type_id,gap_level,priority
186,35,8,MEDIUM,1
187,35,3,MEDIUM,1
188,37,4,MEDIUM,1
189,37,7,MEDIUM,1
190,37,6,MEDIUM,1
191,37,5,MEDIUM,1
192,37,10,MEDIUM,1
193,39,7,MEDIUM,1
194,39,10,MEDIUM,1
195,40,11,MEDIUM,1
196,40,19,MEDIUM,1
197,40,6,MEDIUM,1
198,40,20,MEDIUM,1
199,40,5,MEDIUM,1
200,40,10,MEDIUM,1
201,40,3,MEDIUM,1
